Id,SalePrice
1461,118144.59558983451
1462,158117.0967246075
1463,186552.382281367
1464,196191.74635339988
1465,211155.14559982272
1466,172311.79023796922
1467,175594.05592601484
1468,156805.3161113674
1469,210275.9763111612
1470,115921.85148991877
1471,153991.2980834947
1472,99851.33557150545
1473,98060.91829704955
1474,149098.89628350877
1475,105049.18139390269
1476,372708.83904054284
1477,259107.7986633272
1478,314197.93275152973
1479,307362.19624884194
1480,486332.1055249582
1481,299901.2083187818
1482,202014.80423512522
1483,173275.34010358565
1484,159539.67857739123
1485,178263.07922718127
1486,189010.0369606699
1487,336519.01811582514
1488,226014.91773960917
1489,202706.504332094
1490,258506.02463078065
1491,196195.6030434403
1492,99523.59716975466
1493,196131.06152521537
1494,322402.7750668437
1495,287404.03508039634
1496,246504.45924083216
1497,175469.84342492485
1498,170998.86463094948
1499,164242.30266379597
1500,149537.0400553796
1501,192806.76009974978
1502,128951.27997778365
1503,367551.2096667909
1504,236847.832651412
1505,227563.4517736841
1506,187742.75706059122
1507,262915.54236700234
1508,198699.55290228987
1509,154402.63288440404
1510,143103.62025287066
1511,153844.1378683386
1512,168584.52672854252
1513,155465.95669339862
1514,170324.58445181168
1515,199706.8461908752
1516,150058.27714622242
1517,187678.50696521095
1518,120358.65109316978
1519,221607.82247859254
1520,119780.71157541955
1521,135987.32968843455
1522,185335.97350127014
1523,114921.11833294643
1524,119278.27590306278
1525,116656.1488792669
1526,111644.47219185365
1527,103863.31585275632
1528,130385.70093279009
1529,157450.12633371868
1530,206803.95671113883
1531,131215.44965793117
1532,86728.95543201982
1533,156813.2479830314
1534,137192.09838377006
1535,148824.07849861053
1536,92901.56206408294
1537,58540.093391142625
1538,149611.58432175277
1539,209762.40361462932
1540,123534.8039137563
1541,146605.6945636803
1542,184179.11549951704
1543,189179.72601557357
1544,75664.85365390869
1545,113472.41145108998
1546,137677.1596357959
1547,134867.98510116665
1548,153113.31728759586
1549,119024.98091167083
1550,143260.69189959666
1551,106516.88446801921
1552,148353.76578792892
1553,158554.39020684056
1554,106250.19366990794
1555,163041.27653717957
1556,50438.23081888473
1557,139000.95855005374
1558,104063.58289556642
1559,72613.8953962873
1560,115634.47378714717
1561,137847.25709876246
1562,133058.2793148672
1563,126704.20582719907
1564,152920.65382018677
1565,155874.56162494732
1566,234541.89690173036
1567,77664.95071628911
1568,230103.2541532987
1569,138828.63048195365
1570,136976.11731464328
1571,84612.1930621838
1572,149694.73599795855
1573,284276.82604991505
1574,139303.6210358827
1575,228248.13728688462
1576,223209.75632299343
1577,181723.68977458368
1578,156063.1784351337
1579,128550.75195597304
1580,194890.7566649364
1581,160120.46201252748
1582,135835.5555389781
1583,286719.92713420757
1584,224157.72099502108
1585,130545.07919927745
1586,64793.74228122315
1587,117076.9680755272
1588,165111.16894648687
1589,100869.77828011107
1590,128555.40154522422
1591,89779.69160636378
1592,132353.48596649835
1593,129322.83596828717
1594,157726.8392090382
1595,114361.50405991738
1596,227849.83079261638
